,Country,Latitude,Longitude
0,Afghanistan,33.93911,67.709953
1,Albania,41.153332,20.168331
2,Algeria,28.033886,1.659626
3,Andorra,42.506285,1.521801
4,Angola,-11.202692,17.873887
5,Antigua and Barbuda,17.060816,-61.796428
6,Argentina,-38.416097,-63.616672
7,Armenia,40.069099,45.038189
8,Australia,-25.274398,133.775136
9,Austria,47.516231,14.550072
10,Azerbaijan,40.143105,47.576927
11,Bahamas,25.03428,-77.39628
12,Bahrain,26.0667,50.5577
13,Bangladesh,23.684994,90.356331
14,Barbados,13.193887,-59.543198
15,Belarus,53.709807,27.953389
16,Belgium,50.503887,4.469936
17,Belize,17.189877,-88.49765
18,Benin,9.30769,2.315834
19,Bhutan,27.514162,90.433601
20,Bolivia,-16.290154,-63.588653
21,Bosnia and Herzegovina,43.915886,17.679076
22,Botswana,-22.328474,24.684866
23,Brazil,-14.235004,-51.92528
24,Brunei,4.535277,114.727669
25,Bulgaria,42.733883,25.48583
26,Burkina Faso,12.238333,-1.561593
27,Burundi,-3.373056,29.918886
28,Cabo Verde,15.120142,-23.6051721
29,Cambodia,12.565679,104.990963
30,Cameroon,7.369722,12.354722
31,Canada,56.130366,-106.346771
32,Central African Republic,6.611111,20.939444
33,Chad,15.454166,18.732207
34,Chile,-35.675147,-71.542969
35,China,35.86166,104.195397
36,Colombia,4.570868,-74.297333
37,Comoros,-11.6455,43.3333
38,Costa Rica,9.748917,-83.753428
39,Cote d'Ivoire,7.539989,-5.54708
40,Croatia,45.1,15.2
41,Cuba,21.521757,-77.781167
42,Cyprus,35.126413,33.429859
43,Czech Republic,49.817492,15.472962
44,Denmark,56.26392,9.501785
45,Djibouti,11.825138,42.590275
46,Dominica,15.414999,-61.370976
47,Dominican Republic,18.735693,-70.162651
48,Ecuador,-1.831239,-78.183406
49,Egypt,26.820553,30.802498
50,El Salvador,13.794185,-88.89653
51,Equatorial Guinea,1.650801,10.267895
52,Eritrea,15.179384,39.782334
53,Estonia,58.595272,25.013607
54,Ethiopia,9.145,40.489673
55,Fiji,-17.713371,178.065032
56,Finland,61.92411,25.748151
57,France,46.227638,2.213749
58,Gabon,-0.803689,11.609444
59,Gambia,13.443182,-15.310139
60,Georgia,42.315407,43.356892
61,Germany,51.165691,10.451526
62,Ghana,7.946527,-1.023194
63,Greece,39.074208,21.824312
64,Grenada,12.1165,-61.679
65,Guatemala,15.783471,-90.230759
66,Guinea,9.945587,-9.696645
67,Guinea-Bissau,11.803749,-15.180413
68,Guyana,4.860416,-58.93018
69,Haiti,18.971187,-72.285215
70,Honduras,15.199999,-86.241905
71,Hungary,47.162494,19.503304
72,Iceland,64.963051,-19.020835
73,India,20.593684,78.96288
74,Indonesia,-0.789275,113.921327
75,Iran,32.427908,53.688046
76,Iraq,33.223191,43.679291
77,Ireland,53.41291,-8.24389
78,Israel,31.046051,34.851612
79,Italy,41.87194,12.56738
80,Jamaica,18.109581,-77.297508
81,Japan,36.204824,138.252924
82,Jordan,30.585164,36.238414
83,Kazakhstan,48.019573,66.923684
84,Kenya,-0.023559,37.906193
85,Kiribati,1.8708833,-157.3630262
86,Kosovo,42.6026359,20.902977
87,Kuwait,29.31166,47.481766
88,Kyrgyzstan,41.20438,74.766098
89,Laos,19.85627,102.495496
90,Latvia,56.879635,24.603189
91,Lebanon,33.854721,35.862285
92,Lesotho,-29.609988,28.233608
93,Liberia,6.428055,-9.429499
94,Libya,26.3351,17.228331
95,Liechtenstein,47.166,9.555373
96,Lithuania,55.169438,23.881275
97,Luxembourg,49.815273,6.129583
98,Macedonia,41.608635,21.745275
99,Madagascar,-18.766947,46.869107
100,Malawi,-13.254308,34.301525
101,Malaysia,4.210484,101.975766
102,Maldives,1.977247,73.5361034
103,Mali,17.570692,-3.996166
104,Malta,35.937496,14.375416
105,Marshall Islands,6.0683936,171.989379
106,Mauritania,21.00789,-10.940835
107,Mauritius,-20.348404,57.552152
108,Mexico,23.634501,-102.552784
109,Micronesia,6.8874813,158.2150717
110,Moldova,47.411631,28.369885
111,Monaco,43.7384176,7.4246158
112,Mongolia,46.862496,103.846656
113,Montenegro,42.708678,19.37439
114,Morocco,31.791702,-7.09262
115,Mozambique,-18.665695,35.529562
116,Myanmar (Burma),21.913965,95.956223
117,Namibia,-22.95764,18.49041
118,Nauru,-0.522778,166.931503
119,Nepal,28.394857,84.124008
120,Netherlands,52.132633,5.291266
121,New Zealand,-40.900557,174.885971
122,Nicaragua,12.865416,-85.207229
123,Niger,17.607789,8.081666
124,Nigeria,9.081999,8.675277
125,North Korea,40.339852,127.510093
126,Norway,60.472024,8.468946
127,Oman,21.512583,55.923255
128,Pakistan,30.375321,69.345116
129,Palau,7.51498,134.58252
130,Palestine,31.952162,35.233154
131,Panama,8.537981,-80.782127
132,Papua New Guinea,-6.314993,143.95555
133,Paraguay,-23.442503,-58.443832
134,Peru,-9.189967,-75.015152
135,Philippines,12.879721,121.774017
136,Poland,51.919438,19.145136
137,Portugal,39.399872,-8.224454
138,Qatar,25.354826,51.183884
139,Romania,45.943161,24.96676
140,Russia,61.52401,105.318756
141,Rwanda,-1.940278,29.873888
142,St. Kitts and Nevis,17.357822,-62.782998
143,St. Lucia,13.909444,-60.978893
144,St. Vincent and The Grenadines,13.2528179,-61.1971628
145,Samoa,-13.759029,-172.104629
146,San Marino,43.94236,12.457777
147,Sao Tome and Principe,0.18636,6.613081
148,Saudi Arabia,23.885942,45.079162
149,Senegal,14.497401,-14.452362
150,Serbia,44.016521,21.005859
151,Seychelles,-4.679574,55.491977
152,Sierra Leone,8.460555,-11.779889
153,Singapore,1.352083,103.819836
154,Slovakia,48.669026,19.699024
155,Slovenia,46.151241,14.995463
156,Solomon Islands,-9.64571,160.156194
157,Somalia,5.152149,46.199616
158,South Africa,-30.559482,22.937506
159,Republic of Korea,35.907757,127.766922
160,South Sudan,6.8769919,31.3069788
161,Spain,40.463667,-3.74922
162,Sri Lanka,7.873054,80.771797
163,Sudan,12.862807,30.217636
164,Suriname,3.919305,-56.027783
165,Swaziland,-26.522503,31.465866
166,Sweden,60.128161,18.643501
167,Switzerland,46.818188,8.227512
168,Syria,34.802075,38.996815
169,Taiwan,23.69781,120.960515
170,Tajikistan,38.861034,71.276093
171,Tanzania,-6.369028,34.888822
172,Thailand,15.870032,100.992541
173,Timor-Leste,-8.874217,125.727539
174,Togo,8.619543,0.824782
175,Tonga,-21.178986,-175.198242
176,Trinidad and Tobago,10.691803,-61.222503
177,Tunisia,33.886917,9.537499
178,Turkey,38.963745,35.243322
179,Turkmenistan,38.969719,59.556278
180,Tuvalu,-7.4784418,178.6799214
181,Uganda,1.373333,32.290275
182,Ukraine,48.379433,31.16558
183,United Arab Emirates,23.424076,53.847818
184,United Kingdom,55.378051,-3.435973
185,United States of America,37.09024,-95.712891
186,Uruguay,-32.522779,-55.765835
187,Uzbekistan,41.377491,64.585262
188,Vanuatu,-15.376706,166.959158
189,Vatican City,41.902916,12.453389
190,Venezuela,6.42375,-66.58973
191,Vietnam,14.058324,108.277199
192,Yemen,15.552727,48.516388
193,Zambia,-13.133897,27.849332
194,Zimbabwe,-19.015438,29.154857
